종목명,종목코드,초기 자본,2025년 10월 15일 수요일 9:00,,,,,,,2025년 10월 16일 목요일 9:00,,,,,,,,2025년 10월 17일 금요일 9:00,,,,,,,,2025년 10월 20일 월요일 9:00,,,,,,,,2025년 10월 21일 화요일 9:00,,,,,,,,2025년 10월 22일 수요일 9:00,,,,,,,,2025년 10월 23일 목요일 9:00,,,,,,,,2025년 10월 24일 금요일 9:00,,,,,,,,2025년 10월 27일 월요일 9:00,,,,,,,,2025년 10월 28일 화요일 9:00,,,,,,,,2025년 10월 29일 수요일 9:00,,,,,,,,2025년 10월 30일 목요일 9:00,,,,,,,,2025년 10월 31일 금요일 9:00,,,,,,,,2025년 11월 1일 토요일 9:00,,,,,,,
,,"₩2,000,000",사유,거래,종가,보유 주식수,잔고,자산현황,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률
아시아나IDT,267850,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	11,780",169,"₩	9,180","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	11,750",169,"₩	9,180","₩	1,994,930","₩5,070",0.25%,보유,HOLD,"₩	11,790",169,"₩	9,180","₩	2,001,690","₩1,690",0.08%,보유,HOLD,"₩	11,770",169,"₩	9,180","₩	1,998,310","₩1,690",0.08%,보유,HOLD,"₩	11,720",169,"₩	9,180","₩	1,989,860","₩10,140",0.51%,보유,HOLD,"₩	11,710",169,"₩	9,180","₩	1,988,170","₩11,830",0.59%,보유,HOLD,"₩	11,700",169,"₩	9,180","₩	1,986,480","₩13,520",0.68%
SK케미칼,285130,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	68,100",29,"₩	25,100","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	67,700",29,"₩	25,100","₩	1,988,400","₩11,600",0.58%,보유,HOLD,"₩	67,300",29,"₩	25,100","₩	1,976,800","₩23,200",1.16%,보유,HOLD,"₩	68,000",29,"₩	25,100","₩	1,997,100","₩2,900",0.15%,보유,HOLD,"₩	66,300",29,"₩	25,100","₩	1,947,800","₩52,200",2.61%,보유,HOLD,"₩	64,200",29,"₩	25,100","₩	1,886,900","₩113,100",5.66%,보유,HOLD,"₩	63,200",29,"₩	25,100","₩	1,857,900","₩142,100",7.11%
DSR,155660,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	3,850",519,"₩	1,850","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	3,840",519,"₩	1,850","₩	1,994,810","₩5,190",0.26%,보유,HOLD,"₩	3,825",519,"₩	1,850","₩	1,987,025","₩12,975",0.65%,보유,HOLD,"₩	3,870",519,"₩	1,850","₩	2,010,380","₩10,380",0.52%,보유,HOLD,"₩	3,850",519,"₩	1,850","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	3,820",519,"₩	1,850","₩	1,984,430","₩15,570",0.78%,보유,HOLD,"₩	3,775",519,"₩	1,850","₩	1,961,075","₩38,925",1.95%
사조씨푸드,014710,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	9,050",220,"₩	9,000","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	9,020",220,"₩	9,000","₩	1,993,400","₩6,600",0.33%,손절,SELL,"₩	8,820",220,"₩	9,000","₩	1,949,400","₩50,600",2.53%,-,-,"₩	8,890",0,"₩	1,949,400","₩	1,949,400","₩50,600",2.53%,-,-,"₩	8,860",0,"₩	1,949,400","₩	1,949,400","₩50,600",2.53%,-,-,"₩	8,770",0,"₩	1,949,400","₩	1,949,400","₩50,600",2.53%,-,-,"₩	8,630",0,"₩	1,949,400","₩	1,949,400","₩50,600",2.53%
무학,033920,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	8,450",236,"₩	5,800","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	8,250",236,"₩	5,800","₩	1,952,800","₩47,200",2.36%,보유,HOLD,"₩	8,130",236,"₩	5,800","₩	1,924,480","₩75,520",3.78%,보유,HOLD,"₩	8,200",236,"₩	5,800","₩	1,941,000","₩59,000",2.95%,보유,HOLD,"₩	8,290",236,"₩	5,800","₩	1,962,240","₩37,760",1.89%,보유,HOLD,"₩	8,320",236,"₩	5,800","₩	1,969,320","₩30,680",1.53%,보유,HOLD,"₩	8,600",236,"₩	5,800","₩	2,035,400","₩35,400",1.77%
GS,078930,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	48,300",41,"₩	19,700","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	49,150",41,"₩	19,700","₩	2,034,850","₩34,850",1.74%,보유,HOLD,"₩	49,350",41,"₩	19,700","₩	2,043,050","₩43,050",2.15%,보유,HOLD,"₩	49,100",41,"₩	19,700","₩	2,032,800","₩32,800",1.64%,보유,HOLD,"₩	49,150",41,"₩	19,700","₩	2,034,850","₩34,850",1.74%,보유,HOLD,"₩	48,700",41,"₩	19,700","₩	2,016,400","₩16,400",0.82%,보유,HOLD,"₩	47,950",41,"₩	19,700","₩	1,985,650","₩14,350",0.72%
유엔젤,072130,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	5,570",359,₩	370,"₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	5,440",359,₩	370,"₩	1,953,330","₩46,670",2.33%,손절,SELL,"₩	5,290",359,₩	370,"₩	1,899,480","₩100,520",5.03%,-,-,"₩	5,320",0,"₩	1,899,480","₩	1,899,480","₩100,520",5.03%,-,-,"₩	5,430",0,"₩	1,899,480","₩	1,899,480","₩100,520",5.03%,-,-,"₩	5,410",0,"₩	1,899,480","₩	1,899,480","₩100,520",5.03%,-,-,"₩	5,360",0,"₩	1,899,480","₩	1,899,480","₩100,520",5.03%
세아베스틸지주,001430,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	26,550",75,"₩	8,750","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	28,300",75,"₩	8,750","₩	2,131,250","₩131,250",6.56%,보유,HOLD,"₩	28,150",75,"₩	8,750","₩	2,120,000","₩120,000",6.00%,보유,HOLD,"₩	29,550",75,"₩	8,750","₩	2,225,000","₩225,000",11.25%,보유,HOLD,"₩	28,600",75,"₩	8,750","₩	2,153,750","₩153,750",7.69%,보유,HOLD,"₩	27,500",75,"₩	8,750","₩	2,071,250","₩71,250",3.56%,보유,HOLD,"₩	27,500",75,"₩	8,750","₩	2,071,250","₩71,250",3.56%
한익스프레스,014130,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	3,275",610,"₩	2,250","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	3,285",610,"₩	2,250","₩	2,006,100","₩6,100",0.31%,보유,HOLD,"₩	3,310",610,"₩	2,250","₩	2,021,350","₩21,350",1.07%,보유,HOLD,"₩	3,345",610,"₩	2,250","₩	2,042,700","₩42,700",2.14%,보유,HOLD,"₩	3,370",610,"₩	2,250","₩	2,057,950","₩57,950",2.90%,보유,HOLD,"₩	3,395",610,"₩	2,250","₩	2,073,200","₩73,200",3.66%,보유,HOLD,"₩	3,400",610,"₩	2,250","₩	2,076,250","₩76,250",3.81%
삼천리,004690,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	128,800",15,"₩	68,000","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	130,000",15,"₩	68,000","₩	2,018,000","₩18,000",0.90%,보유,HOLD,"₩	128,000",15,"₩	68,000","₩	1,988,000","₩12,000",0.60%,데드크로스,SELL,"₩	126,400",15,"₩	68,000","₩	1,964,000","₩36,000",1.80%,-,-,"₩	126,100",0,"₩	1,964,000","₩	1,964,000","₩36,000",1.80%,-,-,"₩	125,300",0,"₩	1,964,000","₩	1,964,000","₩36,000",1.80%,-,-,"₩	123,200",0,"₩	1,964,000","₩	1,964,000","₩36,000",1.80%
JW중외제약,001060,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	23,000",86,"₩	22,000","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	22,850",86,"₩	22,000","₩	1,987,100","₩12,900",0.65%,보유,HOLD,"₩	23,650",86,"₩	22,000","₩	2,055,900","₩55,900",2.80%,보유,HOLD,"₩	23,500",86,"₩	22,000","₩	2,043,000","₩43,000",2.15%,보유,HOLD,"₩	23,500",86,"₩	22,000","₩	2,043,000","₩43,000",2.15%,보유,HOLD,"₩	23,150",86,"₩	22,000","₩	2,012,900","₩12,900",0.65%,보유,HOLD,"₩	23,500",86,"₩	22,000","₩	2,043,000","₩43,000",2.15%
고려제강,002240,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	17,920",111,"₩	10,880","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	17,950",111,"₩	10,880","₩	2,003,330","₩3,330",0.17%,보유,HOLD,"₩	18,000",111,"₩	10,880","₩	2,008,880","₩8,880",0.44%,보유,HOLD,"₩	17,990",111,"₩	10,880","₩	2,007,770","₩7,770",0.39%,보유,HOLD,"₩	18,000",111,"₩	10,880","₩	2,008,880","₩8,880",0.44%,보유,HOLD,"₩	17,850",111,"₩	10,880","₩	1,992,230","₩7,770",0.39%,보유,HOLD,"₩	17,860",111,"₩	10,880","₩	1,993,340","₩6,660",0.33%
삼성화재해상보험,000810,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	454,500",4,"₩	182,000","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	455,500",4,"₩	182,000","₩	2,004,000","₩4,000",0.20%,보유,HOLD,"₩	452,500",4,"₩	182,000","₩	1,992,000","₩8,000",0.40%,손절,SELL,"₩	449,000",4,"₩	182,000","₩	1,978,000","₩22,000",1.10%,-,-,"₩	445,000",0,"₩	1,978,000","₩	1,978,000","₩22,000",1.10%,-,-,"₩	446,500",0,"₩	1,978,000","₩	1,978,000","₩22,000",1.10%,-,-,"₩	441,500",0,"₩	1,978,000","₩	1,978,000","₩22,000",1.10%
대동,000490,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	9,970",200,"₩	6,000","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	10,010",200,"₩	6,000","₩	2,008,000","₩8,000",0.40%,보유,HOLD,"₩	10,000",200,"₩	6,000","₩	2,006,000","₩6,000",0.30%,보유,HOLD,"₩	9,980",200,"₩	6,000","₩	2,002,000","₩2,000",0.10%,보유,HOLD,"₩	9,950",200,"₩	6,000","₩	1,996,000","₩4,000",0.20%,손절,SELL,"₩	9,740",200,"₩	6,000","₩	1,954,000","₩46,000",2.30%,-,-,"₩	9,750",0,"₩	1,954,000","₩	1,954,000","₩46,000",2.30%
영진약품,003520,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	2,065",968,"₩	1,080","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	2,015",968,"₩	1,080","₩	1,951,600","₩48,400",2.42%,보유,HOLD,"₩	2,035",968,"₩	1,080","₩	1,970,960","₩29,040",1.45%,보유,HOLD,"₩	2,055",968,"₩	1,080","₩	1,990,320","₩9,680",0.48%,보유,HOLD,"₩	2,040",968,"₩	1,080","₩	1,975,800","₩24,200",1.21%,보유,HOLD,"₩	2,040",968,"₩	1,080","₩	1,975,800","₩24,200",1.21%,보유,HOLD,"₩	2,060",968,"₩	1,080","₩	1,995,160","₩4,840",0.24%
동아기연,111380,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	14,100",141,"₩	11,900","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	14,180",141,"₩	11,900","₩	2,011,280","₩11,280",0.56%,보유,HOLD,"₩	14,140",141,"₩	11,900","₩	2,005,640","₩5,640",0.28%,보유,HOLD,"₩	13,910",141,"₩	11,900","₩	1,973,210","₩26,790",1.34%,보유,HOLD,"₩	13,900",141,"₩	11,900","₩	1,971,800","₩28,200",1.41%,보유,HOLD,"₩	13,740",141,"₩	11,900","₩	1,949,240","₩50,760",2.54%
하이브,352820,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	288,000",6,"₩	272,000","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	309,500",6,"₩	272,000","₩	2,129,000","₩129,000",6.45%,보유,HOLD,"₩	311,500",6,"₩	272,000","₩	2,141,000","₩141,000",7.05%,보유,HOLD,"₩	309,000",6,"₩	272,000","₩	2,126,000","₩126,000",6.30%,보유,HOLD,"₩	324,500",6,"₩	272,000","₩	2,219,000","₩219,000",10.95%,보유,HOLD,"₩	341,000",6,"₩	272,000","₩	2,318,000","₩318,000",15.90%
AJ네트웍스,095570,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	4,415",453,₩	5,"₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	4,310",453,₩	5,"₩	1,952,435","₩47,565",2.38%,보유,HOLD,"₩	4,405",453,₩	5,"₩	1,995,470","₩4,530",0.23%,보유,HOLD,"₩	4,390",453,₩	5,"₩	1,988,675","₩11,325",0.57%,보유,HOLD,"₩	4,360",453,₩	5,"₩	1,975,085","₩24,915",1.25%,보유,HOLD,"₩	4,300",453,₩	5,"₩	1,947,905","₩52,095",2.60%
디와이파워,210540,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	12,890",155,"₩	2,050","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	12,840",155,"₩	2,050","₩	1,992,250","₩7,750",0.39%,보유,HOLD,"₩	12,830",155,"₩	2,050","₩	1,990,700","₩9,300",0.46%,보유,HOLD,"₩	12,970",155,"₩	2,050","₩	2,012,400","₩12,400",0.62%,보유,HOLD,"₩	12,700",155,"₩	2,050","₩	1,970,550","₩29,450",1.47%,보유,HOLD,"₩	12,800",155,"₩	2,050","₩	1,986,050","₩13,950",0.70%
NHN,181710,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	27,850",71,"₩	22,650","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	28,250",71,"₩	22,650","₩	2,028,400","₩28,400",1.42%,보유,HOLD,"₩	28,750",71,"₩	22,650","₩	2,063,900","₩63,900",3.20%,보유,HOLD,"₩	28,650",71,"₩	22,650","₩	2,056,800","₩56,800",2.84%,손절,SELL,"₩	27,850",71,"₩	22,650","₩	2,000,000",₩0,0.00%,-,-,"₩	28,950",0,"₩	2,000,000","₩	2,000,000",₩0,0.00%
대성에너지,117580,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	8,460",236,"₩	3,440","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	8,460",236,"₩	3,440","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	8,410",236,"₩	3,440","₩	1,988,200","₩11,800",0.59%,보유,HOLD,"₩	8,370",236,"₩	3,440","₩	1,978,760","₩21,240",1.06%,보유,HOLD,"₩	8,260",236,"₩	3,440","₩	1,952,800","₩47,200",2.36%,보유,HOLD,"₩	8,190",236,"₩	3,440","₩	1,936,280","₩63,720",3.19%
체시스,033250,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	1,125","1,777",₩	875,"₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	1,113","1,777",₩	875,"₩	1,978,676","₩21,324",1.07%,보유,HOLD,"₩	1,112","1,777",₩	875,"₩	1,976,899","₩23,101",1.16%,데드크로스,SELL,"₩	1,095","1,777",₩	875,"₩	1,946,690","₩53,310",2.67%,-,-,"₩	1,084",0,"₩	1,946,690","₩	1,946,690","₩53,310",2.67%,-,-,"₩	1,093",0,"₩	1,946,690","₩	1,946,690","₩53,310",2.67%
사조산업,007160,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	50,100",39,"₩	46,100","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	50,700",39,"₩	46,100","₩	2,023,400","₩23,400",1.17%,보유,HOLD,"₩	50,100",39,"₩	46,100","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	49,050",39,"₩	46,100","₩	1,959,050","₩40,950",2.05%,보유,HOLD,"₩	48,250",39,"₩	46,100","₩	1,927,850","₩72,150",3.61%,보유,HOLD,"₩	48,300",39,"₩	46,100","₩	1,929,800","₩70,200",3.51%
GS건설,006360,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	19,030",105,"₩	1,850","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	19,000",105,"₩	1,850","₩	1,996,850","₩3,150",0.16%,보유,HOLD,"₩	18,850",105,"₩	1,850","₩	1,981,100","₩18,900",0.95%,보유,HOLD,"₩	19,100",105,"₩	1,850","₩	2,007,350","₩7,350",0.37%,손절,SELL,"₩	18,440",105,"₩	1,850","₩	1,938,050","₩61,950",3.10%,-,-,"₩	18,690",0,"₩	1,938,050","₩	1,938,050","₩61,950",3.10%
남광토건,001260,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	8,490",235,"₩	4,850","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	8,700",235,"₩	4,850","₩	2,049,350","₩49,350",2.47%,보유,HOLD,"₩	8,580",235,"₩	4,850","₩	2,021,150","₩21,150",1.06%,보유,HOLD,"₩	8,100",235,"₩	4,850","₩	1,908,350","₩91,650",4.58%,보유,HOLD,"₩	7,760",235,"₩	4,850","₩	1,828,450","₩171,550",8.58%,보유,HOLD,"₩	7,680",235,"₩	4,850","₩	1,809,650","₩190,350",9.52%
한신공영,004960,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	8,600",232,"₩	4,800","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	8,320",232,"₩	4,800","₩	1,935,040","₩64,960",3.25%,보유,HOLD,"₩	8,100",232,"₩	4,800","₩	1,884,000","₩116,000",5.80%,보유,HOLD,"₩	8,050",232,"₩	4,800","₩	1,872,400","₩127,600",6.38%,데드크로스,SELL,"₩	7,720",232,"₩	4,800","₩	1,795,840","₩204,160",10.21%,-,-,"₩	7,570",0,"₩	1,795,840","₩	1,795,840","₩204,160",10.21%
SK디스커버리,006120,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	54,000",37,"₩	2,000","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	57,800",37,"₩	2,000","₩	2,140,600","₩140,600",7.03%,보유,HOLD,"₩	60,800",37,"₩	2,000","₩	2,251,600","₩251,600",12.58%,보유,HOLD,"₩	61,100",37,"₩	2,000","₩	2,262,700","₩262,700",13.14%,보유,HOLD,"₩	58,300",37,"₩	2,000","₩	2,159,100","₩159,100",7.95%,보유,HOLD,"₩	59,300",37,"₩	2,000","₩	2,196,100","₩196,100",9.81%
한화솔루션,009830,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	32,100",62,"₩	9,800","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	32,200",62,"₩	9,800","₩	2,006,200","₩6,200",0.31%,보유,HOLD,"₩	32,350",62,"₩	9,800","₩	2,015,500","₩15,500",0.78%,보유,HOLD,"₩	30,950",62,"₩	9,800","₩	1,928,700","₩71,300",3.57%,보유,HOLD,"₩	30,200",62,"₩	9,800","₩	1,882,200","₩117,800",5.89%,보유,HOLD,"₩	30,600",62,"₩	9,800","₩	1,907,000","₩93,000",4.65%
동아에스티,170900,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	47,950",41,"₩	34,050","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	47,700",41,"₩	34,050","₩	1,989,750","₩10,250",0.51%,보유,HOLD,"₩	46,750",41,"₩	34,050","₩	1,950,800","₩49,200",2.46%,보유,HOLD,"₩	47,450",41,"₩	34,050","₩	1,979,500","₩20,500",1.03%,보유,HOLD,"₩	48,900",41,"₩	34,050","₩	2,038,950","₩38,950",1.95%
LX하우시스               ,108670,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	28,800",69,"₩	12,800","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	28,750",69,"₩	12,800","₩	1,996,550","₩3,450",0.17%,보유,HOLD,"₩	28,550",69,"₩	12,800","₩	1,982,750","₩17,250",0.86%,보유,HOLD,"₩	28,350",69,"₩	12,800","₩	1,968,950","₩31,050",1.55%,데드크로스,SELL,"₩	28,150",69,"₩	12,800","₩	1,955,150","₩44,850",2.24%
동성케미컬                ,102260,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	4,215",474,"₩	2,090","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	4,200",474,"₩	2,090","₩	1,992,890","₩7,110",0.36%,보유,HOLD,"₩	4,175",474,"₩	2,090","₩	1,981,040","₩18,960",0.95%,보유,HOLD,"₩	4,000",474,"₩	2,090","₩	1,898,090","₩101,910",5.10%,보유,HOLD,"₩	4,000",474,"₩	2,090","₩	1,898,090","₩101,910",5.10%
메타랩스                 ,090370,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	1,626","1,230",₩	20,"₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	2,110","1,230",₩	20,"₩	2,595,320","₩595,320",29.77%,손절,SELL,"₩	1,990","1,230",₩	20,"₩	2,447,720","₩447,720",22.39%,-,-,"₩	1,990",0,"₩	2,447,720","₩	2,447,720","₩447,720",22.39%,-,-,"₩	1,753",0,"₩	2,447,720","₩	2,447,720","₩447,720",22.39%
하이스틸                 ,071090,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	4,460",448,"₩	1,920","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	4,445",448,"₩	1,920","₩	1,993,280","₩6,720",0.34%,보유,HOLD,"₩	4,425",448,"₩	1,920","₩	1,984,320","₩15,680",0.78%,데드크로스,SELL,"₩	4,245",448,"₩	1,920","₩	1,903,680","₩96,320",4.82%,-,-,"₩	4,145",0,"₩	1,903,680","₩	1,903,680","₩96,320",4.82%
삼성출판사                ,068290,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	16,520",121,"₩	1,080","₩	2,000,000",₩0,0.00%,손절,SELL,"₩	16,330",121,"₩	1,080","₩	1,977,010","₩22,990",1.15%,-,-,"₩	16,190",0,"₩	1,977,010","₩	1,977,010","₩22,990",1.15%,-,-,"₩	16,280",0,"₩	1,977,010","₩	1,977,010","₩22,990",1.15%,-,-,"₩	16,200",0,"₩	1,977,010","₩	1,977,010","₩22,990",1.15%
다우기술                 ,023590,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	36,900",54,"₩	7,400","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	37,950",54,"₩	7,400","₩	2,056,700","₩56,700",2.84%,보유,HOLD,"₩	39,350",54,"₩	7,400","₩	2,132,300","₩132,300",6.62%,보유,HOLD,"₩	39,150",54,"₩	7,400","₩	2,121,500","₩121,500",6.08%,보유,HOLD,"₩	39,000",54,"₩	7,400","₩	2,113,400","₩113,400",5.67%
디와이덕양                ,024900,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	2,415",828,₩	380,"₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	2,375",828,₩	380,"₩	1,966,880","₩33,120",1.66%,보유,HOLD,"₩	2,385",828,₩	380,"₩	1,975,160","₩24,840",1.24%,보유,HOLD,"₩	2,330",828,₩	380,"₩	1,929,620","₩70,380",3.52%,보유,HOLD,"₩	2,340",828,₩	380,"₩	1,937,900","₩62,100",3.11%
